date,clicks,impressions,ctr,position
2025-03-31,0,69,0,39.84
2025-04-01,1,44,0.022727,33.36
2025-04-02,2,37,0.054054,30.03
2025-04-03,3,39,0.076923,27.46
2025-04-04,0,31,0,32.19
2025-04-05,2,40,0.05,28.75
2025-04-06,2,40,0.05,24.07
2025-04-07,7,95,0.073684,14.18
2025-04-08,6,112,0.053571,12.14
2025-04-09,3,103,0.029126,32.67
2025-04-10,3,70,0.042857,21.7
2025-04-11,1,55,0.018182,24.04
2025-04-12,2,42,0.047619,29
2025-04-13,2,68,0.029412,12.71
2025-04-14,9,107,0.084112,13.88
2025-04-15,8,75,0.106667,11.11
2025-04-16,0,76,0,14.72
2025-04-17,2,52,0.038462,24.96
2025-04-18,1,54,0.018519,16.48
2025-04-19,1,34,0.029412,34.38
2025-04-20,0,65,0,12.8
2025-04-21,2,111,0.018018,14.36
2025-04-22,9,93,0.096774,16.35
2025-04-23,1,78,0.012821,17.28
2025-04-24,2,92,0.021739,20.2
2025-04-25,3,52,0.057692,19.52
2025-04-26,3,59,0.050847,20.95
2025-04-27,0,46,0,15.46
2025-04-28,5,81,0.061728,12.33
2025-04-29,5,97,0.051546,21.28
2025-04-30,1,84,0.011905,37.55
2025-05-01,6,80,0.075,15.3
2025-05-02,7,88,0.079545,14.01
2025-05-03,3,61,0.04918,27.87
2025-05-04,3,81,0.037037,20.7
2025-05-05,9,127,0.070866,15.57
2025-05-06,16,330,0.048485,9.82
2025-05-07,13,288,0.045139,8.59
2025-05-08,8,144,0.055556,10.71
2025-05-09,2,86,0.023256,15.94
2025-05-10,2,57,0.035088,25.39
2025-05-11,4,44,0.090909,20.61
2025-05-12,2,58,0.034483,29.72
2025-05-13,3,82,0.036585,19.96
2025-05-14,5,102,0.04902,16.35
2025-05-15,3,98,0.030612,22.08
2025-05-16,2,55,0.036364,29.16
2025-05-17,1,48,0.020833,27.56
2025-05-18,1,57,0.017544,24.68
2025-05-19,11,112,0.098214,18.94
2025-05-20,1,53,0.018868,12.26
2025-05-21,6,100,0.06,14.78
2025-05-22,4,73,0.054795,18.9
2025-05-23,3,61,0.04918,24.28
2025-05-24,0,38,0,30.21
2025-05-25,1,98,0.010204,27.85
2025-05-26,2,155,0.012903,27.03
2025-05-27,3,66,0.045455,21.06
2025-05-28,3,80,0.0375,29.64
2025-05-29,0,49,0,24.86
2025-05-30,3,58,0.051724,21.6
2025-05-31,0,93,0,34.08
2025-06-01,1,51,0.019608,30.39
2025-06-02,3,72,0.041667,19.39
2025-06-03,3,92,0.032609,25.09
2025-06-04,3,61,0.04918,29.43
2025-06-05,0,53,0,29.57
2025-06-06,1,44,0.022727,34.27
2025-06-07,2,61,0.032787,30.67
2025-06-08,1,90,0.011111,32.69
2025-06-09,8,190,0.042105,16.73
2025-06-10,9,198,0.045455,13.56
2025-06-11,6,147,0.040816,18.03
2025-06-12,4,181,0.022099,15.56
2025-06-13,3,136,0.022059,18.18
2025-06-14,5,94,0.053191,33.83
2025-06-15,12,108,0.111111,26.8
2025-06-16,5,167,0.02994,28.02
2025-06-17,9,122,0.07377,17.8
2025-06-18,4,83,0.048193,23.59
2025-06-19,6,96,0.0625,23.78
2025-06-20,11,85,0.129412,29.69
2025-06-21,0,104,0,37.25
2025-06-22,3,96,0.03125,24.42
2025-06-23,3,96,0.03125,36.98
2025-06-24,2,90,0.022222,26.07
2025-06-25,3,110,0.027273,28.99
2025-06-26,4,101,0.039604,35.04
2025-06-27,2,68,0.029412,35.4
2025-06-28,1,91,0.010989,36.51
2025-06-29,8,78,0.102564,26.51
2025-06-30,8,79,0.101266,26.84
2025-07-01,7,102,0.068627,19.08
2025-07-02,5,106,0.04717,27.9
2025-07-03,2,74,0.027027,32.15
2025-07-04,2,74,0.027027,26.46
2025-07-05,2,94,0.021277,34.29
2025-07-06,3,69,0.043478,28.23
2025-07-07,0,69,0,28.97
2025-07-08,3,82,0.036585,21.15
2025-07-09,17,167,0.101796,16.37
2025-07-10,8,116,0.068966,18.49
2025-07-11,4,60,0.066667,29.67
2025-07-12,0,99,0,34.45
2025-07-13,1,57,0.017544,30.96
2025-07-14,11,96,0.114583,18.47
2025-07-15,7,107,0.065421,26.47
2025-07-16,7,105,0.066667,20.5
2025-07-17,7,86,0.081395,18.73
2025-07-18,7,88,0.079545,13.27
2025-07-19,1,31,0.032258,14.58
2025-07-20,7,40,0.175,11.95
2025-07-21,5,68,0.073529,12.4
2025-07-22,6,63,0.095238,6.22
2025-07-23,4,81,0.049383,9.56
2025-07-24,0,57,0,18.74
2025-07-25,1,29,0.034483,20.45
2025-07-26,0,26,0,24.19
2025-07-27,3,52,0.057692,16.58
2025-07-28,2,47,0.042553,15.64
2025-07-29,2,45,0.044444,20.58
2025-07-30,4,48,0.083333,25.17
2025-07-31,3,47,0.06383,20.47
2025-08-01,2,54,0.037037,16.69
2025-08-02,2,43,0.046512,23.79
2025-08-03,2,55,0.036364,17.71
2025-08-04,4,79,0.050633,16.99
2025-08-05,3,53,0.056604,21.58
2025-08-06,3,76,0.039474,16.3
2025-08-07,3,69,0.043478,23.84
2025-08-08,4,56,0.071429,23.46
2025-08-09,0,38,0,30.24
2025-08-10,4,63,0.063492,21.6
2025-08-11,14,125,0.112,6.85
2025-08-12,9,120,0.075,16.43
2025-08-13,18,187,0.096257,15.04
2025-08-14,7,127,0.055118,22.57
2025-08-15,4,98,0.040816,13.63
2025-08-16,3,80,0.0375,19.54
