page,clicks,impressions,ctr,position
https://dreamlab.id/,175,2330,0.075107,7.12
https://dreamlab.id/memunculkan-keranjang-reels/,173,4501,0.038436,4.4
https://www.dreamlab.id/memunculkan-keranjang-reels/,77,3163,0.024344,5.57
https://dreamlab.id/cara-meracik-handbody-pemutih-alami/,33,5217,0.006325,8.02
https://dreamlab.id/pabrik-maklon-kosmetik-surabaya-terlengkap/,32,994,0.032193,8.66
https://dreamlab.id/urutan-pabrik-skincare-terbaik-indonesia/,31,2381,0.01302,9.87
https://dreamlab.id/cara-membuat-hb-dosting-sendiri/,25,1101,0.022707,6.44
https://dreamlab.id/pabrik-parfum-jakarta/,21,528,0.039773,13.95
https://dreamlab.id/jasa-maklon-parfum-bali-terbaik-terlengkap/,18,407,0.044226,6.47
https://dreamlab.id/jasa-maklon-parfum-moq-rendah/,18,273,0.065934,8.27
https://dreamlab.id/industri-kosmetik-indonesia-terus-tumbuh/,17,456,0.037281,9.49
https://dreamlab.id/pabrik-parfum-surabaya/,15,437,0.034325,6.66
https://dreamlab.id/jenis-alkohol-dalam-parfum/,12,1257,0.009547,7.89
https://dreamlab.id/contact-us/,11,613,0.017945,8.67
https://dreamlab.id/maklon-hairmist/,11,69,0.15942,13.83
https://dreamlab.id/cara-hitunghpp-produk-kosmeti/,10,330,0.030303,5.74
https://dreamlab.id/services/,10,361,0.027701,7.26
https://dreamlab.id/career/,9,122,0.07377,10.28
https://www.dreamlab.id/cara-meracik-handbody-pemutih-alami/,9,2333,0.003858,8.45
https://dreamlab.id/category/maklon-parfum/,8,221,0.036199,12.35
https://dreamlab.id/pkrt/,8,74,0.108108,10.45
https://dreamlab.id/tren-cleanical-beauty-produk-skincare-paling-dicari-tahun-2026/,8,224,0.035714,5.89
https://www.dreamlab.id/,8,94,0.085106,7.85
https://dreamlab.id/pabrik-maklon-kosmetik-sidoarjo-dreamlab/,7,103,0.067961,12.62
https://dreamlab.id/contoh-kalimat-iklan-kosmetik-unik/,6,837,0.007168,9.9
https://dreamlab.id/jadwalkanvisitmeeting.php,6,294,0.020408,10.22
https://dreamlab.id/jasa-maklon-kosmetik-bandung/,6,218,0.027523,10.89
https://www.dreamlab.id/tren-cleanical-beauty-produk-skincare-paling-dicari-tahun-2026/,6,188,0.031915,5.79
https://dreamlab.id/8-tren-kecantikan-2026-smart-formula/,5,259,0.019305,9.82
https://dreamlab.id/baby-care/,5,209,0.023923,18.7
https://dreamlab.id/pabrik-parfum-malang-dreamlab/,5,223,0.022422,8.6
https://dreamlab.id/panduan-maklon-deodorant-bpom/,5,223,0.022422,9.05
https://www.dreamlab.id/contact-us/,5,248,0.020161,8.16
https://www.dreamlab.id/produk/babycare/,5,111,0.045045,25.5
https://www.dreamlab.id/produk/haircare/hair-mask/,5,20,0.25,10.2
