query,clicks,impressions,ctr,position
dreamlab,113,652,0.173313,7.0
dream lab,30,202,0.148515,2.16
cara menambahkan keranjang di instagram,27,619,0.043619,1.55
maklon pkrt,23,210,0.109524,6.49
data pertumbuhan industri kosmetik di indonesia 2025,21,198,0.106061,3.07
maklon parfum surabaya,21,575,0.036522,7.38
cara memunculkan keranjang di instagram,18,365,0.049315,1.41
cara memunculkan tautan produk di instagram,17,183,0.092896,2.29
syarat keranjang di instagram,17,141,0.120567,1.45
cara menautkan keranjang di instagram,14,313,0.044728,1.5
dreamlab kosmetik,14,219,0.063927,1.11
keranjang di instagram tidak muncul,13,286,0.045455,1.7
menambahkan keranjang di instagram,13,60,0.216667,1.18
cara aktifkan keranjang di instagram,11,159,0.069182,2.61
karya impian laboratoris,11,72,0.152778,1.07
cara menambahkan keranjang di reels instagram,10,133,0.075188,1.23
dreamlab surabaya,10,107,0.093458,1.17
maklon parfum moq rendah,10,155,0.064516,7.08
pt karya impian laboratoris,10,400,0.025,10.46
alat pengencang wajah terbaik,9,219,0.041096,1.62
maklon parfum bali,9,175,0.051429,4.42
maklon parfum jakarta,9,125,0.072,11.8
cara keranjang kuning di instagram,7,121,0.057851,2.22
cara menambah keranjang di instagram,7,102,0.068627,1.76
cara menampilkan keranjang di instagram,7,88,0.079545,1.51
maklon kosmetik surabaya,7,259,0.027027,15.74
maklon parfum,7,294,0.02381,33.88
pabrik parfum,7,266,0.026316,8.7
cara mengaktifkan keranjang di instagram,6,120,0.05,1.65
cara tambah keranjang di instagram,6,113,0.053097,1.65
cara masukin keranjang di instagram,5,96,0.052083,1.52
cara menambah keranjang kuning di instagram,5,49,0.102041,1.55
cara menautkan keranjang shopee di instagram,5,62,0.080645,1.95
cara menautkan produk di instagram,5,184,0.027174,2.38
fitur keranjang di instagram,5,138,0.036232,2.49
keranjang instagram,5,111,0.045045,2.31
keranjang kuning instagram,5,182,0.027473,3.95
maklon skincare surabaya,5,238,0.021008,15.11
cara masukan keranjang di instagram,4,68,0.058824,1.71
cara memasukan keranjang di instagram,4,52,0.076923,1.42
cara memasukkan keranjang di instagram,4,24,0.166667,1.25
cara membuat keranjang di instagram,4,69,0.057971,1.51
cara menambahkan keranjang di ig,4,114,0.035088,1.61
cara menambahkan link produk di reels instagram,4,244,0.016393,2.39
cara tautkan keranjang di instagram,4,78,0.051282,1.69
keranjang di instagram,4,87,0.045977,1.82
maklon skincare terbaik,4,499,0.008016,15.65
maklon surabaya,4,87,0.045977,5.98
cara menambahkan keranjang kuning di instagram,3,185,0.016216,1.9
cara menambahkan keranjang shopee di instagram,3,42,0.071429,1.69
cara pasang keranjang di instagram,3,31,0.096774,1.35
keranjang kuning di instagram,3,66,0.045455,3.48
keranjang putih instagram,3,196,0.015306,4.1
maklon kosmetik,3,244,0.012295,25.86
maklon kosmetik jawa timur,3,125,0.024,15.63
maklon kosmetik makassar,3,51,0.058824,12.75
maklon parfum jawa timur,3,55,0.054545,5.07
pabrik kosmetik sidoarjo,3,155,0.019355,9.3
syarat keranjang kuning instagram,3,18,0.166667,2.33
syarat keranjang putih instagram,3,65,0.046154,1.95
cara buat keranjang kuning di instagram,2,34,0.058824,3.03
cara keranjang di instagram,2,53,0.037736,2.23
cara menambahkan keranjang kuning di ig,2,21,0.095238,2.81
cara menambahkan keranjang putih di instagram,2,53,0.037736,1.64
cara menautkan produk di reels instagram,2,42,0.047619,2.05
cara menyematkan keranjang di instagram,2,33,0.060606,1.21
cara sematkan keranjang di instagram,2,19,0.105263,1.89
cara tautkan produk di ig,2,58,0.034483,1.97
contoh iklan skincare yang menarik,2,73,0.027397,2.89
daftar perusahaan maklon kosmetik,2,32,0.0625,7.84
data penjualan skincare di indonesia 2025,2,30,0.066667,5.67
data pertumbuhan industri kosmetik di indonesia,2,30,0.066667,2.03
kata-kata promosi produk kecantikan,2,273,0.007326,2.88
kata-kata promosi skincare yang menarik,2,409,0.00489,1.98
maklon deodorant,2,10,0.2,33.8
maklon kosmetik bandung,2,145,0.013793,11.99
maklon parfum malang,2,88,0.022727,6.1
maklon parfum tangerang,2,95,0.021053,8.42
maklon parfum terbaik,2,97,0.020619,7.63
maklon skincare bandung,2,262,0.007634,11.28
maklon skincare tangerang,2,32,0.0625,7.38
pabrik parfum jakarta,2,78,0.025641,6.18
pabrik parfum surabaya,2,250,0.008,6.92
pabrik skincare,2,428,0.004673,10.61
perusahaan skincare terbesar di indonesia,2,191,0.010471,7.76
tautkan produk di instagram tidak muncul,2,21,0.095238,3.9
3 basic skincare pria,1,85,0.011765,6.34
alkohol parfum yang bagus,1,49,0.020408,7.08
alkohol yang digunakan untuk parfum,1,21,0.047619,4.52
alkohol yang dipakai untuk parfum,1,35,0.028571,7.2
apa itu hb dosting,1,159,0.006289,1.23
biaya maklon parfum,1,39,0.025641,10.97
cara aktifkan keranjang di ig,1,8,0.125,3.75
cara buat hb dosting,1,2,0.5,5
cara memunculkan keranjang di ig,1,5,0.2,1
cara memunculkan keranjang putih di instagram,1,13,0.076923,1.46
cara menambah keranjang di ig,1,9,0.111111,1
cara menautkan link shopee di reels instagram,1,25,0.04,1
cara nautin keranjang di ig,1,13,0.076923,2.08
cara nya gimana ?,1,1,1,1
cara tautkan produk di instagram,1,50,0.02,2.78
data pengguna skincare di indonesia 2025,1,16,0.0625,3.44
dramlab,1,5,0.2,1.2
dreamlab kosmetik surabaya,1,5,0.2,1
dreamlabs,1,20,0.05,3.25
grafik pertumbuhan industri kosmetik di indonesia,1,9,0.111111,7.11
hair tonic ginseng,1,6,0.166667,25.83
iklan kecantikan,1,47,0.021277,18.81
inspired parfum artinya,1,228,0.004386,5.5
instagram keranjang kuning,1,19,0.052632,2.37
jasa maklon parfum,1,122,0.008197,13.34
kata-kata promosi skincare,1,16,0.0625,4.75
maklon body mist,1,122,0.008197,16.3
maklon bodycare,1,64,0.015625,16.44
maklon hair care,1,257,0.003891,20.44
maklon jakarta,1,7,0.142857,12.71
maklon kosmetik bali,1,73,0.013699,13.27
maklon kosmetik indonesia,1,22,0.045455,31.45
maklon kosmetik sidoarjo,1,91,0.010989,16.77
maklon kosmetik terbaik,1,280,0.003571,23.22
maklon moq rendah,1,40,0.025,45.08
maklon reed diffuser,1,14,0.071429,16.57
maklon sabun batang,1,37,0.027027,22.03
maklon sabun mandi,1,27,0.037037,18.41
maklon shampoo,1,103,0.009709,40.31
maklon skincare jakarta,1,174,0.005747,19.13
maklon skincare sidoarjo,1,54,0.018519,14.09
maklon skincare terbaik di indonesia,1,76,0.013158,4.08
maklon tangerang,1,27,0.037037,16.04
masukkan keranjang,1,26,0.038462,9
mau,1,5,0.2,2.6
pabrik kosmetik surabaya,1,243,0.004115,12.47
pabrik maklon kosmetik surabaya,1,111,0.009009,11.83
pabrik parfum di indonesia,1,43,0.023256,14.67
pabrik parfum surabaya pt maklon kosmetik indonesia,1,89,0.011236,7.87
pabrik parfum terdekat,1,25,0.04,10.12
pertumbuhan industri kosmetik di indonesia,1,25,0.04,3.92
perusahaan kosmetik terbesar di indonesia,1,80,0.0125,10.8
perusahaan maklon kosmetik terbesar di indonesia,1,1,1,10
pt karya impian laboratoris surabaya,1,61,0.016393,1.02
tautan produk di instagram tidak muncul,1,21,0.047619,1.43
waterless skincare,1,3,0.333333,7
white label kosmetik,1,1,1,10
ya,1,15,0.066667,2.87
"""kosmetik"" -site:reddit.com -site:twitter.com -site:x.com -site:wykop.pl -site:tripadvisor.com -site:youtube.com -site:yelp.com -site:booking.com -site:facebook.com -site:instagram.com -site:tiktok.com",0,3,0,4.33
(90)na18220109861(91)250929,0,1,0,3
10 perusahaan kosmetik terbesar di indonesia,0,8,0,8.75
10 skin care terbaik di indonesia,0,1,0,92
10 urutan skincare bpom terlaris,0,1,0,11
3 basic skincare cowok,0,5,0,7.6
5 skincare terbaik di indonesia,0,1,0,15
ada opsi lain,0,1,0,3
affiliate,0,1,0,5
affiliate aja,0,1,0,2
affiliate marketing skincare,0,3,0,8.67
affiliate skincare,0,155,0,2.55
affiliate skincare adalah,0,157,0,3.18
affiliate skincare kerjanya apa,0,34,0,5.56
affiliator skincare adalah,0,32,0,5.75
afiliator adalah,0,1,0,2
afiliator skincare adalah,0,26,0,4.54
agen botol parfum custom,0,3,0,58
