country_code,clicks,impressions,ctr,position
idn,8740,321172,2.7213000000000003,8.39
sgp,25,702,3.5612999999999997,8.25
aus,22,457,4.814,10.39
usa,15,20527,0.0731,10.82
hkg,13,394,3.2994999999999997,7.8
mys,12,1054,1.1384999999999998,18.62
khm,10,259,3.8609999999999998,7.2
chn,7,1439,0.48640000000000005,9.39
jpn,6,611,0.9820000000000001,9.17
twn,4,412,0.9709000000000001,9.06
gbr,3,708,0.4237,18.5
can,2,970,0.2062,12.23
kor,2,553,0.3617,12.4
lka,2,30,6.6667000000000005,6.83
nzl,2,57,3.5088,11.46
tha,2,219,0.9131999999999999,11.25
tur,2,249,0.8031999999999999,14.45
are,1,118,0.8475,9.93
arg,1,274,0.365,13.91
bel,1,68,1.4706000000000001,14.18
bgd,1,175,0.5714,12.38
brn,1,30,3.3333000000000004,8.37
cze,1,46,2.1739,9.76
deu,1,334,0.2994,16.47
esp,1,372,0.2688,11.64
hun,1,44,2.2727,12.14
ind,1,991,0.10089999999999999,13.1
ita,1,351,0.2849,11.79
ken,1,34,2.9412000000000003,6.09
mac,1,16,6.25,7.44
omn,1,29,3.4483,14.24
swe,1,68,1.4706000000000001,9.6
tls,1,51,1.9608,6.88
abw,0,1,0.0,10.0
afg,0,6,0.0,9.17
ago,0,6,0.0,7.5
alb,0,19,0.0,14.11
and,0,2,0.0,10.0
arm,0,7,0.0,9.0
asm,0,2,0.0,5.0
atg,0,1,0.0,10.0
aut,0,46,0.0,10.26
aze,0,16,0.0,20.31
ben,0,2,0.0,6.0
bfa,0,1,0.0,4.0
bgr,0,51,0.0,13.16
bhr,0,16,0.0,8.94
bhs,0,13,0.0,9.31
bih,0,14,0.0,10.21
blr,0,47,0.0,19.32
blz,0,2,0.0,9.5
bmu,0,1,0.0,2.0
bol,0,36,0.0,9.64
bra,0,1605,0.0,19.81
brb,0,6,0.0,36.67
btn,0,1,0.0,3.0
che,0,74,0.0,14.27
chl,0,100,0.0,15.64
civ,0,5,0.0,10.4
cmr,0,6,0.0,6.33
cod,0,8,0.0,13.0
cog,0,3,0.0,6.0
col,0,202,0.0,11.74
cpv,0,1,0.0,82.0
cri,0,25,0.0,8.56
cub,0,14,0.0,5.64
cuw,0,2,0.0,46.5
cym,0,2,0.0,13.0
cyp,0,10,0.0,9.1
dma,0,1,0.0,5.0
dnk,0,33,0.0,13.24
dom,0,50,0.0,11.8
dza,0,62,0.0,16.29
ecu,0,174,0.0,14.27
egy,0,110,0.0,19.65
eri,0,1,0.0,1.0
est,0,16,0.0,11.38
eth,0,16,0.0,15.19
fin,0,23,0.0,14.96
fra,0,410,0.0,12.12
fro,0,1,0.0,3.0
gab,0,1,0.0,12.0
geo,0,19,0.0,14.84
gha,0,12,0.0,7.83
