folder,clicks_c90,impressions_c90,clicks_p90,impressions_p90,ctr_c90,ctr_p90,clicks_delta,clicks_growth_pct
/memunculkan-keranjang-reels/,699.0,18057.0,1044.0,26710.0,3.87,3.91,-345,-33.04597701149425
/,486.0,6955.0,281.0,5469.0,6.99,5.14,205,72.95373665480427
/urutan-pabrik-skincare-terbaik-indonesia/,140.0,11863.0,67.0,8993.0,1.18,0.75,73,108.955223880597
/cara-meracik-handbody-pemutih-alami/,106.0,21602.0,11.0,1197.0,0.49,0.92,95,863.6363636363636
/cara-membuat-hb-dosting-sendiri/,82.0,3950.0,18.0,694.0,2.08,2.59,64,355.55555555555554
/produk/,75.0,3532.0,0.0,0.0,2.12,,75,
/pabrik-maklon-kosmetik-surabaya-terlengkap/,64.0,3078.0,25.0,1678.0,2.08,1.49,39,156.0
/industri-kosmetik-indonesia-terus-tumbuh/,56.0,1653.0,94.0,2320.0,3.39,4.05,-38,-40.42553191489362
/jasa-maklon-parfum-bali-terbaik-terlengkap/,48.0,1633.0,34.0,1776.0,2.94,1.91,14,41.176470588235304
/contact-us/,44.0,2553.0,29.0,1957.0,1.72,1.48,15,51.72413793103448
/pabrik-parfum-surabaya/,37.0,1391.0,45.0,1811.0,2.66,2.48,-8,-17.777777777777782
/pabrik-parfum-jakarta/,37.0,1337.0,8.0,543.0,2.77,1.47,29,362.5
/jasa-maklon-parfum-moq-rendah/,36.0,915.0,20.0,589.0,3.93,3.4,16,80.0
/jenis-alkohol-dalam-parfum/,32.0,5060.0,20.0,4294.0,0.63,0.47,12,60.00000000000001
/tren-cleanical-beauty-produk-skincare-paling-dicari-tahun-2026/,29.0,1196.0,0.0,0.0,2.42,,29,
/career/,25.0,432.0,12.0,189.0,5.79,6.35,13,108.33333333333334
/pkrt/,24.0,258.0,39.0,350.0,9.3,11.14,-15,-38.46153846153846
/panduan-maklon-deodorant-bpom/,23.0,718.0,2.0,79.0,3.2,2.53,21,1050.0
/cara-hitunghpp-produk-kosmeti/,20.0,1506.0,6.0,165.0,1.33,3.64,14,233.33333333333334
/category/,19.0,1592.0,9.0,1720.0,1.19,0.52,10,111.11111111111111
/alat-pengencang-wajah/,18.0,1003.0,22.0,858.0,1.79,2.56,-4,-18.181818181818176
/contoh-kalimat-iklan-kosmetik-unik/,17.0,4206.0,23.0,12002.0,0.4,0.19,-6,-26.086956521739136
/maklon-parfum-makassar/,17.0,428.0,4.0,258.0,3.97,1.55,13,325.0
/pabrik-parfum-malang-dreamlab/,17.0,811.0,18.0,495.0,2.1,3.64,-1,-5.555555555555558
/maklon-hairmist/,16.0,211.0,3.0,308.0,7.58,0.97,13,433.3333333333333
/services/,15.0,1049.0,9.0,628.0,1.43,1.43,6,66.66666666666667
/jasa-maklon-bar-soap-merek-sendiri/,14.0,222.0,4.0,172.0,6.31,2.33,10,250.0
/jasa-maklon-lipstik-bpom-terpercaya/,13.0,561.0,1.0,144.0,2.32,0.69,12,1200.0
/pabrik-maklon-parfum-bekasi/,13.0,421.0,0.0,0.0,3.09,,13,
/tren-aroma-parfum-2026-terbaru/,13.0,1014.0,7.0,1009.0,1.28,0.69,6,85.71428571428572
/cysteamine-alternatif-hydroquinone/,13.0,1293.0,3.0,224.0,1.01,1.34,10,333.3333333333333
/cara-membuka-offline-store-kosmetik-2026/,13.0,1008.0,13.0,771.0,1.29,1.69,0,0.0
/biaya-maklon-parfum-moq-kecil/,13.0,803.0,6.0,880.0,1.62,0.68,7,116.66666666666666
/8-tren-kecantikan-2026-smart-formula/,12.0,872.0,8.0,874.0,1.38,0.92,4,50.0
/jasa-maklon-kosmetik-bandung/,12.0,670.0,9.0,723.0,1.79,1.24,3,33.33333333333333
/baby-care/,12.0,551.0,8.0,728.0,2.18,1.1,4,50.0
/lulur-vs-hb-dosting/,12.0,2198.0,4.0,2826.0,0.55,0.14,8,200.0
/maklon-hair-treatment-salon-premium/,11.0,201.0,5.0,151.0,5.47,3.31,6,120.00000000000001
/maklon-parfum-anak-custom-aroma/,10.0,150.0,5.0,150.0,6.67,3.33,5,100.0
/pabrik-maklon-kosmetik-sidoarjo-dreamlab/,10.0,478.0,9.0,799.0,2.09,1.13,1,11.111111111111116
/about-us/,10.0,778.0,3.0,700.0,1.29,0.43,7,233.33333333333334
/maklon-kosmetik-skincare-medan-dreamlab/,10.0,324.0,0.0,0.0,3.09,,10,
/maklon-skincare-batam/,9.0,279.0,0.0,0.0,3.23,,9,
/parfum/,9.0,395.0,15.0,929.0,2.28,1.61,-6,-40.0
/perbedaan-moisturizer-gel-vs-cream/,9.0,5733.0,2.0,1918.0,0.16,0.1,7,350.0
/parfum-arab-ide-bisnis-2026/,9.0,241.0,5.0,308.0,3.73,1.62,4,80.0
/parfum-inspired-peluang-bisnis/,9.0,5990.0,8.0,2648.0,0.15,0.3,1,12.5
/pabrik-shampoo-merek-sendiri/,8.0,274.0,5.0,142.0,2.92,3.52,3,60.00000000000001
/berapa-moq-maklon-skincare-di-dreamlab-ini-fakta-penting-untuk-pebisnis-pemula/,7.0,318.0,1.0,159.0,2.2,0.63,6,600.0
/jadwalkanvisitmeeting.php/,7.0,779.0,3.0,693.0,0.9,0.43,4,133.33333333333334
/state-of-beauty-2025-tren-kecantikan-pertumbuhan-industri-kosmetik-perubahan-pasar/,6.0,462.0,13.0,1434.0,1.3,0.91,-7,-53.84615384615385
/affiliate-kol-brand-skincare/,6.0,1311.0,1.0,2423.0,0.46,0.04,5,500.0
/maklon-bodycare-dreamlab-moq-fleksibel/,6.0,380.0,3.0,443.0,1.58,0.68,3,100.0
/maklon-hair-care/,6.0,58.0,0.0,0.0,10.34,,6,
/maklon-skincare-nad-plus-anti-aging/,6.0,293.0,4.0,271.0,2.05,1.48,2,50.0
/maklon-parfum-dreamlab/,6.0,184.0,5.0,323.0,3.26,1.55,1,19.999999999999996
/trend-body-care-2025-produk-viral-tiktok-shopee-dreamlab-maklon-kosmetik/,6.0,294.0,5.0,326.0,2.04,1.53,1,19.999999999999996
/waterless-beauty-2025/,6.0,44.0,1.0,84.0,13.64,1.19,5,500.0
/maklon-skincare-jawa-timur-dreamlab/,6.0,343.0,4.0,310.0,1.75,1.29,2,50.0
/maklon-kosmetik-tangerang-terpercaya/,6.0,451.0,5.0,595.0,1.33,0.84,1,19.999999999999996
/pabrik-skincare-aceh-bpom-terlengkap/,6.0,104.0,3.0,147.0,5.77,2.04,3,100.0
/maklon-kosmetik-serum-exosome-pdrn-dreamlab/,5.0,105.0,1.0,113.0,4.76,0.88,4,400.0
/ide-bisnis-kosmetik-2026/,5.0,663.0,3.0,1018.0,0.75,0.29,2,66.66666666666667
/jenis-vitamin-c-whitening-terbaik/,5.0,307.0,0.0,97.0,1.63,0.0,5,
/jasa-maklon-kosmetik/,5.0,194.0,0.0,0.0,2.58,,5,
/our-client/,5.0,264.0,1.0,138.0,1.89,0.72,4,400.0
/parfum-pheromone-bisnis-parfum/,5.0,585.0,0.0,0.0,0.85,,5,
/news-blog/,5.0,450.0,2.0,184.0,1.11,1.09,3,150.0
/maklon-kosmetik-jakarta-skala-besar/,5.0,37.0,0.0,0.0,13.51,,5,
/perbedaan-bpom-notifikasi-vs-izin-edar-kosmetik/,5.0,204.0,0.0,0.0,2.45,,5,
/ai-data-cara-brand-kosmetik-baru-menemukan-formula-viral/,4.0,133.0,1.0,100.0,3.01,1.0,3,300.0
