ym,clicks,impressions,ctr,avg_position
2025-03,0,69,0.0,39.84
2025-04,86,2032,4.232,20.12
2025-05,127,2922,4.346,18.79
2025-06,130,3044,4.271,25.36
2025-07,131,2285,5.733,21.64
2025-08,167,3153,5.297,19.79
2025-09,204,5781,3.529,13.45
2025-10,538,12497,4.305,7.57
2025-11,1085,26893,4.035,6.24
2025-12,899,35731,2.516,9.17
2026-01,639,32334,1.976,10.33
2026-02,581,27901,2.082,7.83
2026-03,533,27945,1.907,8.16
2026-04,1033,47335,2.182,6.75
2026-05,1002,42998,2.33,8.16
2026-06,979,44797,2.185,8.99
2026-07,751,42740,1.757,8.48
