url,page_path,current_clicks,previous_clicks,clicks_delta,clicks_pct_change,current_ctr_pct,previous_ctr_pct,ctr_delta_pp,current_position,previous_position,position_delta,c30_clicks,p30_clicks,c30_impressions,c90_impressions,p90_impressions,clicks_16m,impressions_16m,traffic_delta,potential_opportunity,priority_score,business_intent,page_type,money_page,blog,category_page,landing_page,knowledge_page
https://dreamlab.id/memunculkan-keranjang-reels/,/memunculkan-keranjang-reels/,699,1044,-345,-33.0,3.31,3.91,-0.59,4.9,2.6,2.3,5,250,98,18057,26710,3015,66928,-345,1207.3,76.0,informational,article,False,True,False,False,True
https://dreamlab.id/cara-meracik-handbody-pemutih-alami/,/cara-meracik-handbody-pemutih-alami/,106,11,95,863.6,0.45,0.92,-0.47,8.1,6.8,1.3,42,42,10179,21162,1197,117,22359,95,962.8,71.8,informational,article,False,True,False,False,True
https://dreamlab.id/urutan-pabrik-skincare-terbaik-indonesia/,/urutan-pabrik-skincare-terbaik-indonesia/,140,67,73,109.0,1.7,1.04,0.66,8.8,10.0,-1.2,61,31,3289,8241,6419,214,15448,73,272.1,73.5,commercial,article,True,True,False,False,True
https://dreamlab.id/perbedaan-moisturizer-gel-vs-cream/,/perbedaan-moisturizer-gel-vs-cream/,9,2,7,350.0,0.18,0.11,0.07,7.6,8.0,-0.4,3,0,1853,4911,1755,14,8249,7,236.5,50.3,informational,article,False,True,False,False,True
https://dreamlab.id/jenis-alkohol-dalam-parfum/,/jenis-alkohol-dalam-parfum/,32,20,12,60.0,0.84,0.47,0.37,8.8,6.4,2.3,12,14,2250,5060,4294,79,12763,12,210.5,50.0,informational,article,False,True,False,False,True
https://dreamlab.id/lulur-vs-hb-dosting/,/lulur-vs-hb-dosting/,12,4,8,200.0,0.62,0.14,0.48,4.9,1.6,3.3,8,4,1490,2186,2826,16,5012,8,205.1,65.8,commercial,article,True,True,False,False,True
https://dreamlab.id/contoh-kalimat-iklan-kosmetik-unik/,/contoh-kalimat-iklan-kosmetik-unik/,17,23,-6,-26.1,0.44,0.21,0.23,9.1,5.5,3.6,8,6,1659,3887,10948,74,27361,-6,177.3,48.0,informational,article,False,True,False,False,True
https://dreamlab.id/parfum-inspired-peluang-bisnis/,/parfum-inspired-peluang-bisnis/,9,8,1,12.5,0.35,0.7,-0.35,7.8,5.3,2.5,4,2,687,2607,1146,23,4331,1,121.4,65.0,commercial,article,True,True,False,False,True
https://dreamlab.id/pabrik-maklon-kosmetik-surabaya-terlengkap/,/pabrik-maklon-kosmetik-surabaya-terlengkap/,64,25,39,156.0,1.15,1.55,-0.4,9.7,13.5,-3.9,23,32,1037,2806,1614,91,4803,39,108.1,65.1,commercial,service_landing,True,False,False,True,False
https://dreamlab.id/cara-membuat-hb-dosting-sendiri/,/cara-membuat-hb-dosting-sendiri/,82,18,64,355.6,2.27,2.84,-0.57,6.6,5.5,1.1,31,25,1519,3614,634,100,4248,64,98.7,46.1,informational,article,False,True,False,False,True
