url,page_path,current_clicks,previous_clicks,clicks_delta,clicks_pct_change,current_ctr_pct,previous_ctr_pct,ctr_delta_pp,current_position,previous_position,position_delta,c30_clicks,p30_clicks,c30_impressions,c90_impressions,p90_impressions,clicks_16m,impressions_16m,traffic_delta,potential_opportunity,priority_score,business_intent,page_type,money_page,blog,category_page,landing_page,knowledge_page
https://dreamlab.id/memunculkan-keranjang-reels/,/memunculkan-keranjang-reels/,699,1044,-345,-33.0,3.31,3.91,-0.59,4.9,2.6,2.3,5,250,98,18057,26710,3015,66928,-345,1207.3,76.0,informational,article,False,True,False,False,True
https://dreamlab.id/urutan-pabrik-skincare-terbaik-indonesia/,/urutan-pabrik-skincare-terbaik-indonesia/,140,67,73,109.0,1.7,1.04,0.66,8.8,10.0,-1.2,61,31,3289,8241,6419,214,15448,73,272.1,73.5,commercial,article,True,True,False,False,True
https://dreamlab.id/cara-meracik-handbody-pemutih-alami/,/cara-meracik-handbody-pemutih-alami/,106,11,95,863.6,0.45,0.92,-0.47,8.1,6.8,1.3,42,42,10179,21162,1197,117,22359,95,962.8,71.8,informational,article,False,True,False,False,True
https://dreamlab.id/,/,486,281,205,73.0,7.74,5.14,2.6,8.1,9.1,-1.0,167,183,2458,6955,5469,2014,27210,205,0.0,67.3,brand_nav,homepage,True,False,False,False,False
https://dreamlab.id/lulur-vs-hb-dosting/,/lulur-vs-hb-dosting/,12,4,8,200.0,0.62,0.14,0.48,4.9,1.6,3.3,8,4,1490,2186,2826,16,5012,8,205.1,65.8,commercial,article,True,True,False,False,True
https://dreamlab.id/pabrik-maklon-kosmetik-surabaya-terlengkap/,/pabrik-maklon-kosmetik-surabaya-terlengkap/,64,25,39,156.0,1.15,1.55,-0.4,9.7,13.5,-3.9,23,32,1037,2806,1614,91,4803,39,108.1,65.1,commercial,service_landing,True,False,False,True,False
https://dreamlab.id/parfum-inspired-peluang-bisnis/,/parfum-inspired-peluang-bisnis/,9,8,1,12.5,0.35,0.7,-0.35,7.8,5.3,2.5,4,2,687,2607,1146,23,4331,1,121.4,65.0,commercial,article,True,True,False,False,True
https://dreamlab.id/pabrik-parfum-surabaya/,/pabrik-parfum-surabaya/,37,45,-8,-17.8,2.16,2.48,-0.32,8.3,7.7,0.6,0,18,6,1391,1811,106,4487,-8,39.5,60.4,commercial,service_landing,True,False,False,True,False
https://dreamlab.id/cysteamine-alternatif-hydroquinone/,/cysteamine-alternatif-hydroquinone/,13,3,10,333.3,1.01,1.34,-0.33,8.6,6.5,2.1,3,4,597,1291,224,22,1993,10,51.5,60.3,commercial,article,True,True,False,False,True
https://dreamlab.id/affiliate-kol-brand-skincare/,/affiliate-kol-brand-skincare/,6,1,5,500.0,0.51,0.04,0.47,9.9,4.4,5.4,0,2,324,1167,2342,24,8125,5,52.4,59.8,commercial,article,True,True,False,False,True
