query,clicks_c90,clicks_p90,clicks_delta,clicks_pct_change,impressions_c90,impressions_p90,impressions_delta,ctr_c90_pct,ctr_p90_pct,ctr_delta_pp,position_c90,position_p90,position_delta,c30_clicks,p30_clicks,clicks_16m,impressions_16m,trend,business_intent,brand
app dreamlab,0,0,0,,0,1,-1,0.0,0.0,,,49.0,,0,0,0,1,stable,brand,True
can i delete dreamlab,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,brand,True
day dream lab,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,brand,True
digital dream lab,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,brand,True
dream lab,56,30,26,86.7,250,202,48,22.4,14.85,7.55,1.7,2.2,-0.4,12,26,188,1349,declining,brand,True
dream lab ai,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,2,stable,brand,True
dream lab app,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,brand,True
dream lab canva,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,3,stable,brand,True
dream lab fbsb uny,0,0,0,,0,1,-1,0.0,0.0,,,1.0,,0,0,0,1,stable,brand,True
dream lab iboga,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,brand,True
dream lab logo,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,5,stable,brand,True
dream lab official website,0,0,0,,1,1,0,0.0,0.0,,10.0,1.0,9.0,0,0,0,2,stable,brand,True
dream lab studio,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,2,stable,brand,True
dream lab.,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,brand,True
dream lab.com,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,2,stable,brand,True
dream laboratory,0,0,0,,0,4,-4,0.0,0.0,,,6.5,,0,0,0,7,stable,brand,True
dream labs,0,0,0,,2,0,2,0.0,0.0,,1.5,,,0,0,0,3,stable,brand,True
dream labs makeup,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,10,stable,brand,True
dreamlab,182,113,69,61.1,649,652,-3,28.04,17.33,10.71,7.5,7.0,0.5,56,75,848,3746,declining,brand,True
dreamlab (production team),0,0,0,,0,8,-8,0.0,0.0,,,9.2,,0,0,0,8,stable,brand,True
dreamlab agency,0,0,0,,0,1,-1,0.0,0.0,,,2.0,,0,0,0,1,stable,brand,True
dreamlab ai,0,0,0,,1,0,1,0.0,0.0,,30.0,,,0,0,0,1,stable,brand,True
dreamlab canva,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,brand,True
dreamlab chile,0,0,0,,1,0,1,0.0,0.0,,4.0,,,0,0,0,1,stable,brand,True
dreamlab cosmetici,0,0,0,,1,1,0,0.0,0.0,,2.0,5.0,-3.0,0,0,0,2,stable,brand,True
dreamlab indonesia,4,0,4,100,12,0,12,33.33,0.0,,1.2,,,4,0,4,12,growing,brand,True
dreamlab kosmetik,26,14,12,85.7,212,219,-7,12.26,6.39,5.87,1.0,1.1,-0.1,11,9,84,876,growing,brand,True
dreamlab kosmetik surabaya,0,1,-1,-100.0,0,5,-5,0.0,20.0,,,1.0,,0,0,2,24,stable,brand,True
dreamlab la,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,brand,True
dreamlab logo,0,0,0,,0,1,-1,0.0,0.0,,,2.0,,0,0,2,21,stable,brand,True
dreamlab official website,0,0,0,,12,0,12,0.0,0.0,,4.7,,,0,0,0,12,stable,brand,True
dreamlab pc,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,brand,True
dreamlab perfume,0,0,0,,0,3,-3,0.0,0.0,,,2.3,,0,0,0,10,stable,brand,True
dreamlab review,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,brand,True
dreamlab reviews,0,0,0,,0,1,-1,0.0,0.0,,,2.0,,0,0,0,1,stable,brand,True
dreamlab skincare,0,0,0,,4,3,1,0.0,0.0,,12.5,11.3,1.2,0,0,0,27,stable,brand,True
dreamlab studio,0,0,0,,8,2,6,0.0,0.0,,5.8,1.0,4.8,0,0,0,10,stable,brand,True
dreamlab studios,0,0,0,,1,0,1,0.0,0.0,,12.0,,,0,0,0,1,stable,brand,True
dreamlab surabaya,12,10,2,20.0,97,107,-10,12.37,9.35,3.03,1.1,1.2,-0.1,3,7,66,777,declining,brand,True
dreamlab.com,0,0,0,,0,2,-2,0.0,0.0,,,1.0,,0,0,1,3,stable,brand,True
dreamlabs,3,1,2,200.0,43,20,23,6.98,5.0,1.98,3.6,3.2,0.4,2,1,4,186,growing,brand,True
dreamlabs adalah,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,7,stable,brand,True
dreamlabs careers,0,0,0,,1,0,1,0.0,0.0,,2.0,,,0,0,0,1,stable,brand,True
gambar dreamlab,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,1,51,stable,brand,True
gambar pt karya impian laboratoris,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,2,49,stable,brand,True
karya impian laboratoris,11,11,0,0.0,85,72,13,12.94,15.28,-2.34,1.1,1.1,0.1,5,3,68,439,growing,brand,True
mavis dreamlab,0,0,0,,2,0,2,0.0,0.0,,6.0,,,0,0,0,5,stable,brand,True
pixelegen dream lab,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,1,2,stable,brand,True
private dream lab,0,0,0,,1,0,1,0.0,0.0,,2.0,,,0,0,0,1,stable,brand,True
pt dreamlabs,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,1,4,stable,brand,True
pt karya impian laboratoris,19,10,9,90.0,382,400,-18,4.97,2.5,2.47,22.7,10.5,12.3,5,10,150,2146,declining,brand,True
pt karya impian laboratoris (dreamlab) - pabrik pasuruan,0,0,0,,0,84,-84,0.0,0.0,,,3.7,,0,0,0,93,stable,brand,True
pt karya impian laboratoris surabaya,4,1,3,300.0,15,61,-46,26.67,1.64,25.03,1.0,1.0,-0.0,0,2,23,327,declining,brand,True
pt. karya impian laboratoris,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,7,30,stable,brand,True
studio dream lab surabaya,0,0,0,,1,1,0,0.0,0.0,,12.0,2.0,10.0,0,0,0,34,stable,brand,True
the dream lab,1,0,1,100,6,2,4,16.67,0.0,,3.0,3.0,0.0,0,0,1,63,stable,brand,True
the dreamlab,0,0,0,,1,0,1,0.0,0.0,,1.0,,,0,0,0,5,stable,brand,True
ulasan dreamlab,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,3,stable,brand,True
ulasan pt karya impian laboratoris,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,63,stable,brand,True
what is dreamlab app,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,brand,True
