query,clicks_c90,clicks_p90,clicks_delta,clicks_pct_change,impressions_c90,impressions_p90,impressions_delta,ctr_c90_pct,ctr_p90_pct,ctr_delta_pp,position_c90,position_p90,position_delta,c30_clicks,p30_clicks,clicks_16m,impressions_16m,trend,business_intent,brand
apa perbedaan eau de toilette dan eau de parfum,0,0,0,,1,0,1,0.0,0.0,,65.0,,,0,0,0,1,stable,comparison,False
apa perbedaan edp dan edt,0,0,0,,9,0,9,0.0,0.0,,12.1,,,0,0,0,13,stable,comparison,False
apa perbedaan edp edt edc parfum,0,0,0,,2,0,2,0.0,0.0,,12.0,,,0,0,0,2,stable,comparison,False
apa perbedaan edt dan edp,0,0,0,,5,0,5,0.0,0.0,,14.8,,,0,0,0,8,stable,comparison,False
apa perbedaan edt dan edp parfum,0,0,0,,2,0,2,0.0,0.0,,12.0,,,0,0,0,2,stable,comparison,False
apa perbedaan micellar water dan toner,0,0,0,,6,11,-5,0.0,0.0,,23.7,28.4,-4.7,0,0,0,23,stable,comparison,False
apa perbedaan parfum edp dan edt,0,0,0,,1,0,1,0.0,0.0,,13.0,,,0,0,0,1,stable,comparison,False
apa perbedaan parfum edt dan edp,0,0,0,,1,0,1,0.0,0.0,,12.0,,,0,0,0,1,stable,comparison,False
apa perbedaan toner dan micellar water,0,0,0,,5,7,-2,0.0,0.0,,25.0,29.1,-4.1,0,0,0,18,stable,comparison,False
"bahan skincare apa yang sedang populer di shopee, lazada, atau tiktok shop indonesia?",0,0,0,,7,0,7,0.0,0.0,,1.9,,,0,0,0,7,stable,comparison,False
"bandingkan tekstur gel, lotion, cream, dan essence untuk berbagai jenis kulit?",0,0,0,,3,0,3,0.0,0.0,,4.0,,,0,0,0,3,stable,comparison,False
cream moisturizer vs gel moisturizer,0,0,0,,0,1,-1,0.0,0.0,,,8.0,,0,0,0,1,stable,comparison,False
cream vs gel,0,0,0,,8,2,6,0.0,0.0,,6.4,9.5,-3.1,0,0,0,13,stable,comparison,False
cream vs gel moisturizer,0,0,0,,2,0,2,0.0,0.0,,8.0,,,0,0,0,2,stable,comparison,False
cysteamine vs hydroquinone,0,0,0,,6,0,6,0.0,0.0,,7.0,,,0,0,0,11,stable,comparison,False
di keranjang atau keranjang,0,0,0,,1,0,1,0.0,0.0,,6.0,,,0,0,0,1,stable,comparison,False
edp atau edt,0,0,0,,2,0,2,0.0,0.0,,18.5,,,0,0,0,4,stable,comparison,False
edp edt perbedaan,0,0,0,,1,0,1,0.0,0.0,,11.0,,,0,0,0,6,stable,comparison,False
edp vs edt,0,0,0,,1,6,-5,0.0,0.0,,50.0,1.0,49.0,0,0,0,11,stable,comparison,False
edt atau edp,0,0,0,,3,0,3,0.0,0.0,,18.0,,,0,0,0,4,stable,comparison,False
edt edp perbedaan,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,5,stable,comparison,False
edt vs edp,0,0,0,,1,4,-3,0.0,0.0,,51.0,1.0,50.0,0,0,0,7,stable,comparison,False
gel cream vs cream,0,0,0,,1,0,1,0.0,0.0,,7.0,,,0,0,0,1,stable,comparison,False
gel cream vs moisturizer,0,0,0,,3,0,3,0.0,0.0,,8.0,,,0,0,0,3,stable,comparison,False
gel moisturizer vs cream,0,0,0,,1,0,1,0.0,0.0,,9.0,,,0,0,0,1,stable,comparison,False
gel moisturizer vs cream moisturizer,0,0,0,,0,1,-1,0.0,0.0,,,12.0,,0,0,0,1,stable,comparison,False
