query,clicks_c90,clicks_p90,clicks_delta,clicks_pct_change,impressions_c90,impressions_p90,impressions_delta,ctr_c90_pct,ctr_p90_pct,ctr_delta_pp,position_c90,position_p90,position_delta,c30_clicks,p30_clicks,clicks_16m,impressions_16m,trend,business_intent,brand
"""kalodata.com""",0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,informational,False
1. analisis peluang pasar produk tersebut dengan mempertimbangkan tren industri dan kebutuhan konsumen saat ini.,0,0,0,,1,0,1,0.0,0.0,,1.0,,,0,0,0,1,stable,informational,False
2026 beauty trend,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,informational,False
2026 skincare trends,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,informational,False
90 hari berapa lama,0,0,0,,5,0,5,0.0,0.0,,7.0,,,0,0,0,5,stable,informational,False
aeekiy obat apa,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,informational,False
affiliate kerjanya ngapain,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,informational,False
affiliate skincare kerjanya apa,0,0,0,,36,34,2,0.0,0.0,,9.1,5.6,3.5,0,0,0,121,stable,informational,False
affiliate skincare ngapain aja,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,informational,False
akun kalodata,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,informational,False
alkohol absolut berapa persen,0,0,0,,1,0,1,0.0,0.0,,46.0,,,0,0,0,1,stable,informational,False
alkohol apa,0,0,0,,1,0,1,0.0,0.0,,2.0,,,0,0,0,1,stable,informational,False
alkohol apa yang digunakan untuk parfum,0,0,0,,31,16,15,0.0,0.0,,9.9,7.6,2.3,0,0,0,55,stable,informational,False
alkohol di parfum untuk apa,0,0,0,,14,4,10,0.0,0.0,,11.1,11.8,-0.6,0,0,0,18,stable,informational,False
alkohol parfum berapa persen,0,0,0,,1,0,1,0.0,0.0,,8.0,,,0,0,0,1,stable,informational,False
alkohol parfum terbuat dari apa,0,0,0,,18,8,10,0.0,0.0,,7.1,11.6,-4.5,0,0,0,26,stable,informational,False
alkohol untuk parfum berapa persen,0,0,0,,2,3,-1,0.0,0.0,,5.5,45.7,-40.2,0,0,0,10,stable,informational,False
analisis tren produk kekinian 2026,0,0,0,,0,4,-4,0.0,0.0,,,9.5,,0,0,0,4,stable,informational,False
analisis tren produk terkini 2026,0,0,0,,0,1,-1,0.0,0.0,,,7.0,,0,0,0,1,stable,informational,False
apa arti dosting,0,0,0,,3,2,1,0.0,0.0,,9.7,6.0,3.7,0,0,0,5,stable,informational,False
apa arti edp,0,0,0,,1,0,1,0.0,0.0,,12.0,,,0,0,0,2,stable,informational,False
apa arti hb dosting,0,0,0,,50,1,49,0.0,0.0,,9.6,1.0,8.6,0,0,0,51,stable,informational,False
apa arti inspired parfum,0,0,0,,2,3,-1,0.0,0.0,,1.0,1.0,0.0,0,0,0,5,stable,informational,False
apa arti kol,0,0,0,,0,1,-1,0.0,0.0,,,3.0,,0,0,0,1,stable,informational,False
apa arti moisturizer cream,0,0,0,,1,0,1,0.0,0.0,,12.0,,,0,0,0,1,stable,informational,False
apa beda eau de toilette dan eau de parfum,0,0,0,,1,0,1,0.0,0.0,,22.0,,,0,0,0,1,stable,informational,False
apa beda edp dan edt,0,0,0,,20,0,20,0.0,0.0,,12.2,,,0,0,0,31,stable,informational,False
apa beda edt dan edp,0,0,0,,7,0,7,0.0,0.0,,12.4,,,0,0,0,13,stable,informational,False
apa beda nya edp dan edt,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,5,stable,informational,False
apa beda nya micellar water dan toner,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,informational,False
