query,clicks_c90,clicks_p90,clicks_delta,clicks_pct_change,impressions_c90,impressions_p90,impressions_delta,ctr_c90_pct,ctr_p90_pct,ctr_delta_pp,position_c90,position_p90,position_delta,c30_clicks,p30_clicks,clicks_16m,impressions_16m,trend,business_intent,brand
"""jumlah pengguna tiktok di indonesia""",0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,local,False
10 merek kosmetik terbaik di indonesia,0,0,0,,1,0,1,0.0,0.0,,37.0,,,0,0,0,1,stable,local,False
10 perusahaan kosmetik terbesar di indonesia,0,0,0,,6,8,-2,0.0,0.0,,11.2,8.8,2.4,0,0,0,14,stable,local,False
10 skin care terbaik di indonesia,0,0,0,,0,1,-1,0.0,0.0,,,92.0,,0,0,0,1,stable,local,False
5 skincare terbaik di indonesia,0,0,0,,0,1,-1,0.0,0.0,,,15.0,,0,0,0,1,stable,local,False
[bahasa indonesia] merek wewangian dan perawatan tubuh wanita terbaik di indonesia yang paling laris di tiktok shop dan shopee 2026,0,0,0,,1,0,1,0.0,0.0,,1.0,,,0,0,0,1,stable,local,False
agen parfum jakarta,0,0,0,,0,1,-1,0.0,0.0,,,76.0,,0,0,0,1,stable,local,False
aksara kosmetik indonesia,0,0,0,,0,1,-1,0.0,0.0,,,4.0,,0,0,0,1,stable,local,False
alamat kantor morlab indonesia,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,local,False
albea surabaya,0,0,0,,1,0,1,0.0,0.0,,49.0,,,0,0,0,1,stable,local,False
anjalis group indonesia,0,0,0,,1,0,1,0.0,0.0,,2.0,,,0,0,0,1,stable,local,False
aulia cosmetic indonesia,0,0,0,,0,1,-1,0.0,0.0,,,2.0,,0,0,0,1,stable,local,False
bali cosmetics,0,0,0,,1,0,1,0.0,0.0,,13.0,,,0,0,0,1,stable,local,False
bali natural skincare,0,0,0,,9,11,-2,0.0,0.0,,12.3,16.2,-3.8,0,0,0,22,stable,local,False
bali skincare,0,0,0,,2,0,2,0.0,0.0,,14.5,,,0,0,0,2,stable,local,False
beauty company di indonesia,0,0,0,,1,2,-1,0.0,0.0,,14.0,1.0,13.0,0,0,0,3,stable,local,False
beauty group indonesia,0,0,0,,0,1,-1,0.0,0.0,,,5.0,,0,0,0,1,stable,local,False
beauty indonesia group jogja,0,0,0,,0,1,-1,0.0,0.0,,,4.0,,0,0,0,1,stable,local,False
beauty trends indonesia 2025,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,2,stable,local,False
