query,clicks_c90,clicks_p90,clicks_delta,clicks_pct_change,impressions_c90,impressions_p90,impressions_delta,ctr_c90_pct,ctr_p90_pct,ctr_delta_pp,position_c90,position_p90,position_delta,c30_clicks,p30_clicks,clicks_16m,impressions_16m,trend,business_intent,brand
alat pengencang wajah terbaik,2,9,-7,-77.8,145,219,-74,1.38,4.11,-2.73,5.7,1.6,4.1,0,1,16,518,declining,other,False
alkohol parfum yang bagus,0,1,-1,-100.0,22,49,-27,1.39,2.04,-0.65,10.3,7.1,3.2,0,0,1,72,stable,other,False
alkohol yang digunakan untuk parfum,0,1,-1,-100.0,31,21,10,1.72,4.76,-3.04,8.8,4.5,4.2,0,0,1,58,stable,other,False
alkohol yang dipakai untuk parfum,0,1,-1,-100.0,5,35,-30,2.27,2.86,-0.58,10.0,7.2,2.8,0,0,1,44,stable,other,False
biaya maklon parfum,0,1,-1,-100.0,9,39,-30,1.92,2.56,-0.64,16.3,11.0,5.4,0,0,1,52,stable,pricing,False
cara aktifkan keranjang di ig,0,1,-1,-100.0,17,8,9,4.0,12.5,-8.5,5.1,3.8,1.4,0,0,1,25,stable,informational,False
cara aktifkan keranjang di instagram,4,11,-7,-63.6,91,159,-68,4.4,6.92,-2.52,2.9,2.6,0.3,0,1,18,348,declining,informational,False
cara keranjang di instagram,1,2,-1,-50.0,52,53,-1,1.92,3.77,-1.85,3.6,2.2,1.4,0,1,7,142,declining,informational,False
cara masukan keranjang di instagram,3,4,-1,-25.0,36,68,-32,8.33,5.88,2.45,3.0,1.7,1.3,0,1,7,104,declining,informational,False
cara memasukan keranjang di instagram,3,4,-1,-25.0,33,52,-19,9.09,7.69,1.4,2.7,1.4,1.3,0,1,7,86,declining,informational,False
cara memunculkan keranjang di ig,0,1,-1,-100.0,0,5,-5,0.0,20.0,,,1.0,,0,0,3,51,stable,informational,False
cara memunculkan keranjang di instagram,7,18,-11,-61.1,202,365,-163,3.47,4.93,-1.47,2.2,1.4,0.8,0,3,80,1024,declining,informational,False
