query,clicks_c90,clicks_p90,clicks_delta,clicks_pct_change,impressions_c90,impressions_p90,impressions_delta,ctr_c90_pct,ctr_p90_pct,ctr_delta_pp,position_c90,position_p90,position_delta,c30_clicks,p30_clicks,clicks_16m,impressions_16m,trend,business_intent,brand
10 perusahaan kosmetik terbesar di indonesia,0,0,0,,6,8,-2,0.0,0.0,,11.2,8.8,2.4,0,0,0,14,stable,local,False
10 urutan skincare bpom terlaris,0,0,0,,1,1,0,0.0,0.0,,12.0,11.0,1.0,0,0,0,2,stable,commercial,False
ada brand apa aja,0,0,0,,1,0,1,0.0,0.0,,20.0,,,0,0,0,1,stable,commercial,False
affiliate kol,0,0,0,,1,0,1,0.0,0.0,,16.0,,,0,0,0,2,stable,other,False
affiliate skincare,0,0,0,,18,155,-137,0.0,0.0,,11.8,2.6,9.3,0,0,0,455,stable,other,False
affiliate skincare adalah,0,0,0,,10,157,-147,0.0,0.0,,11.3,3.2,8.1,0,0,0,717,stable,other,False
affiliator skincare adalah,0,0,0,,2,32,-30,0.0,0.0,,14.0,5.8,8.2,0,0,0,40,stable,other,False
ai cosmetic,0,0,0,,1,0,1,0.0,0.0,,11.0,,,0,0,0,1,stable,other,False
akar ginseng untuk rambut,0,0,0,,2,0,2,0.0,0.0,,11.0,,,0,0,0,2,stable,other,False
alcohol denat pada parfum,0,0,0,,1,19,-18,0.0,0.0,,12.0,11.0,0.9,0,0,0,25,stable,other,False
alkohol denat pada parfum,0,0,0,,15,18,-3,0.0,0.0,,11.6,9.9,1.7,0,0,0,36,stable,other,False
alkohol di parfum untuk apa,0,0,0,,14,4,10,0.0,0.0,,11.1,11.8,-0.6,0,0,0,18,stable,informational,False
alkohol minyak wangi,0,0,0,,1,7,-6,0.0,0.0,,13.0,1.6,11.4,0,0,0,17,stable,other,False
alkohol parfum,0,0,0,,51,71,-20,0.0,0.0,,12.6,5.7,6.9,0,0,0,129,stable,other,False
alkohol parfume,0,0,0,,2,0,2,0.0,0.0,,12.5,,,0,0,0,2,stable,other,False
alkohol pelarut parfum,0,0,0,,3,0,3,0.0,0.0,,11.0,,,0,0,0,3,stable,other,False
alkohol perfume,0,0,0,,1,0,1,0.0,0.0,,13.0,,,0,0,0,1,stable,other,False
alkohol untuk minyak wangi,0,0,0,,2,13,-11,5.88,0.0,,12.5,4.1,8.4,0,0,1,17,stable,other,False
alkohol untuk parfum,0,0,0,,41,351,-310,0.29,0.0,,11.0,2.7,8.4,0,0,2,684,stable,other,False
alkohol yang halal untuk parfum,0,0,0,,2,0,2,0.0,0.0,,16.0,,,0,0,0,2,stable,commercial,False
all day cream artinya,0,0,0,,1,0,1,0.0,0.0,,11.0,,,0,0,0,1,stable,other,False
apa arti edp,0,0,0,,1,0,1,0.0,0.0,,12.0,,,0,0,0,2,stable,informational,False
apa arti moisturizer cream,0,0,0,,1,0,1,0.0,0.0,,12.0,,,0,0,0,1,stable,informational,False
apa beda edp dan edt,0,0,0,,20,0,20,0.0,0.0,,12.2,,,0,0,0,31,stable,informational,False
apa beda edt dan edp,0,0,0,,7,0,7,0.0,0.0,,12.4,,,0,0,0,13,stable,informational,False
apa bedanya cream dan moisturizer,0,0,0,,22,0,22,0.0,0.0,,11.8,,,0,0,0,22,stable,informational,False
apa bedanya edp dan edt,0,0,0,,6,0,6,0.0,0.0,,12.2,,,0,0,0,13,stable,informational,False
apa bedanya edp dan edt pada parfum,0,0,0,,1,0,1,0.0,0.0,,12.0,,,0,0,0,1,stable,informational,False
