query,clicks_c90,clicks_p90,clicks_delta,clicks_pct_change,impressions_c90,impressions_p90,impressions_delta,ctr_c90_pct,ctr_p90_pct,ctr_delta_pp,position_c90,position_p90,position_delta,c30_clicks,p30_clicks,clicks_16m,impressions_16m,trend,business_intent,brand
cara membuat handbody racikan sendiri agar cepat putih,6,0,6,100,1788,1,1787,0.34,0.0,,8.0,31.0,-23.0,3,2,6,1789,growing,informational,False
maklon parfum surabaya,29,21,8,38.1,681,575,106,4.26,3.65,0.61,8.6,7.4,1.2,6,13,62,1759,declining,commercial,False
maklon skincare terbaik,10,4,6,150.0,515,499,16,1.94,0.8,1.14,7.5,15.6,-8.2,5,5,14,1288,stable,commercial,False
pabrik skincare,1,2,-1,-50.0,488,428,60,0.2,0.47,-0.26,14.9,10.6,4.3,0,0,3,918,stable,commercial,False
cara membuat handbody racikan dosis tinggi,1,0,1,100,480,0,480,0.21,0.0,,8.7,,,0,1,1,480,declining,informational,False
apa itu inspired parfum,0,0,0,,460,122,338,0.0,0.0,,9.6,4.6,5.0,0,0,0,585,stable,informational,False
hb racikan sendiri,2,0,2,100,459,13,446,0.44,0.0,,9.2,11.2,-2.1,0,2,2,472,declining,other,False
maklon kosmetik surabaya,20,7,13,185.7,458,259,199,4.37,2.7,1.66,10.2,15.7,-5.6,6,12,29,1035,declining,commercial,False
pabrik kosmetik surabaya,2,1,1,100.0,401,243,158,0.5,0.41,0.09,14.2,12.5,1.8,1,0,3,749,growing,commercial,False
pabrik parfum,4,7,-3,-42.9,369,266,103,1.08,2.63,-1.55,12.6,8.7,3.9,0,1,13,748,declining,commercial,False
maklon kosmetik,6,3,3,100.0,366,244,122,1.64,1.23,0.41,15.4,25.9,-10.4,2,0,9,818,growing,commercial,False
cara membuat hb dosting,7,0,7,100,355,36,319,1.97,0.0,,5.7,6.0,-0.2,4,3,7,391,growing,informational,False
inspired parfum adalah,0,0,0,,302,33,269,0.0,0.0,,8.8,6.0,2.8,0,0,0,336,stable,other,False
cara membuat handbody racikan putih permanen,2,0,2,100,301,0,301,0.66,0.0,,7.9,,,1,0,2,301,growing,informational,False
pheromone adalah,0,0,0,,276,0,276,0.0,0.0,,6.3,,,0,0,0,276,stable,other,False
parfum inspired adalah,0,0,0,,275,34,241,0.0,0.0,,7.0,5.4,1.6,0,0,0,309,stable,other,False
maklon skincare surabaya,13,5,8,160.0,267,238,29,4.87,2.1,2.77,5.2,15.1,-9.9,4,8,18,755,declining,commercial,False
racikan handbody pemutih,0,0,0,,260,2,258,0.0,0.0,,8.6,13.5,-4.9,0,0,0,262,stable,other,False
cara meracik hb dosting sendiri,3,0,3,100,238,0,238,1.26,0.0,,6.5,,,1,2,3,238,declining,informational,False
bahan handbody racikan cepat putih,2,0,2,100,235,0,235,0.85,0.0,,7.8,,,2,0,2,235,growing,other,False
maklon parfum terbaik,7,2,5,250.0,235,97,138,2.98,2.06,0.92,7.0,7.6,-0.7,3,2,9,334,growing,commercial,False
cara meracik hb pemutih yang aman,0,0,0,,231,0,231,0.0,0.0,,7.8,,,0,0,0,231,stable,informational,False
hb pemutih racikan sendiri,0,0,0,,226,4,222,0.0,0.0,,8.2,10.2,-2.0,0,0,0,230,stable,other,False
maklon kosmetik terbaik,3,1,2,200.0,217,280,-63,1.38,0.36,1.03,14.8,23.2,-8.4,3,0,4,665,growing,commercial,False
handbody racikan sendiri,0,0,0,,209,0,209,0.0,0.0,,7.2,,,0,0,0,209,stable,other,False
maklon skincare bandung,1,2,-1,-50.0,208,262,-54,0.48,0.76,-0.28,13.5,11.3,2.2,0,1,3,495,declining,commercial,False
