url,page_path,current_clicks,previous_clicks,clicks_delta,clicks_pct_change,current_ctr_pct,previous_ctr_pct,ctr_delta_pp,current_position,previous_position,position_delta,c30_clicks,p30_clicks,c30_impressions,c90_impressions,p90_impressions,clicks_16m,impressions_16m,traffic_delta,potential_opportunity,priority_score,business_intent,page_type,money_page,blog,category_page,landing_page,knowledge_page
https://dreamlab.id/,/,486,281,205,73.0,7.74,5.14,2.6,8.1,9.1,-1.0,167,183,2458,6955,5469,2014,27210,205,0.0,67.3,brand_nav,homepage,True,False,False,False,False
https://dreamlab.id/cara-meracik-handbody-pemutih-alami/,/cara-meracik-handbody-pemutih-alami/,106,11,95,863.6,0.45,0.92,-0.47,8.1,6.8,1.3,42,42,10179,21162,1197,117,22359,95,962.8,71.8,informational,article,False,True,False,False,True
https://dreamlab.id/urutan-pabrik-skincare-terbaik-indonesia/,/urutan-pabrik-skincare-terbaik-indonesia/,140,67,73,109.0,1.7,1.04,0.66,8.8,10.0,-1.2,61,31,3289,8241,6419,214,15448,73,272.1,73.5,commercial,article,True,True,False,False,True
https://dreamlab.id/cara-membuat-hb-dosting-sendiri/,/cara-membuat-hb-dosting-sendiri/,82,18,64,355.6,2.27,2.84,-0.57,6.6,5.5,1.1,31,25,1519,3614,634,100,4248,64,98.7,46.1,informational,article,False,True,False,False,True
https://dreamlab.id/pabrik-maklon-kosmetik-surabaya-terlengkap/,/pabrik-maklon-kosmetik-surabaya-terlengkap/,64,25,39,156.0,1.15,1.55,-0.4,9.7,13.5,-3.9,23,32,1037,2806,1614,91,4803,39,108.1,65.1,commercial,service_landing,True,False,False,True,False
https://dreamlab.id/tren-cleanical-beauty-produk-skincare-paling-dicari-tahun-2026/,/tren-cleanical-beauty-produk-skincare-paling-dicari-tahun-2026/,29,0,29,100,2.69,0.0,2.69,6.2,,,15,14,695,1196,0,29,1196,29,27.6,39.4,informational,article,False,True,False,False,True
https://dreamlab.id/pabrik-parfum-jakarta/,/pabrik-parfum-jakarta/,37,8,29,362.5,1.4,1.47,-0.07,17.0,16.7,0.3,8,21,234,1337,543,57,2560,29,14.7,59.7,commercial,service_landing,True,False,False,True,False
https://dreamlab.id/panduan-maklon-deodorant-bpom/,/panduan-maklon-deodorant-bpom/,23,2,21,1050.0,1.65,2.53,-0.89,10.2,6.8,3.3,11,5,243,718,79,25,797,21,6.1,56.5,commercial,article,True,True,False,False,True
https://dreamlab.id/jasa-maklon-parfum-moq-rendah/,/jasa-maklon-parfum-moq-rendah/,36,20,16,80.0,2.28,3.98,-1.7,12.4,14.9,-2.5,10,18,194,819,503,56,1346,16,1.8,57.1,commercial,service_landing,True,False,False,True,False
https://dreamlab.id/contact-us/,/contact-us/,44,29,15,51.7,1.24,1.48,-0.25,8.2,10.6,-2.4,15,16,880,2553,1957,150,10396,15,96.1,44.4,company,company_or_service,False,False,False,True,False
https://dreamlab.id/cara-hitunghpp-produk-kosmeti/,/cara-hitunghpp-produk-kosmeti/,20,6,14,233.3,2.36,3.64,-1.28,6.1,6.1,-0.0,5,12,648,1473,165,26,1638,14,38.9,40.6,informational,article,False,True,False,False,True
