key,clicks,impressions,ctr,position
idn,168,8102,0.020735620834361885,8.64292767217971
hkg,1,8,0.125,25.25
jpn,1,8,0.125,5.625
sgp,1,14,0.07142857142857142,7.5
are,0,6,0,14.333333333333334
arg,0,4,0,4
aus,0,10,0,23.7
bel,0,1,0,7
blr,0,2,0,11
bra,0,14,0,9.785714285714286
can,0,1,0,11
che,0,1,0,9
chl,0,2,0,8
chn,0,57,0,10.649122807017545
col,0,2,0,6
deu,0,2,0,5
ecu,0,1,0,8
fra,0,2,0,6
gbr,0,4,0,7.25
grc,0,1,0,1
gtm,0,1,0,5
hrv,0,2,0,1
hun,0,1,0,23
ind,0,7,0,8.714285714285715
irl,0,1,0,6
ita,0,1,0,11
khm,0,6,0,3.8333333333333335
kor,0,2,0,6
ltu,0,1,0,7
mar,0,1,0,11
mex,0,3,0,16.333333333333336
mne,0,1,0,6
mys,0,24,0,16.125
nld,0,3,0,7.666666666666667
nor,0,1,0,8
nzl,0,3,0,26
pak,0,2,0,28.5
per,0,3,0,7
phl,0,4,0,7
pol,0,1,0,10
rou,0,1,0,24
rus,0,2,0,12
sau,0,3,0,6
swe,0,1,0,8
tha,0,2,0,8
tls,0,5,0,5.6
twn,0,10,0,8.1
ukr,0,1,0,4
usa,0,223,0,8.421524663677129
uzb,0,2,0,8
vnm,0,9,0,23.88888888888889
zaf,0,1,0,8
