key,clicks,impressions,ctr,position
idn,140,8264,0.016940948693126814,9.286302032913843
aus,1,5,0.2,14.2
sgp,1,19,0.05263157894736842,10.526315789473685
twn,1,5,0.2,5.2
usa,1,391,0.0025575447570332483,7.879795396419437
are,0,4,0,8.25
arg,0,8,0,9.25
bgd,0,5,0,7.8
bhs,0,1,0,5
bol,0,1,0,2
bra,0,24,0,8.458333333333332
can,0,3,0,8.333333333333332
chl,0,3,0,6.666666666666667
chn,0,78,0,10.23076923076923
col,0,7,0,9.285714285714286
cze,0,1,0,16
deu,0,5,0,3.4
ecu,0,3,0,10
egy,0,4,0,14
esp,0,3,0,27
eth,0,1,0,7
fra,0,22,0,7.136363636363637
gbr,0,7,0,12.285714285714286
hkg,0,5,0,8.4
hnd,0,1,0,9
ind,0,11,0,11
irl,0,1,0,8
ita,0,4,0,10.75
jpn,0,3,0,7.666666666666667
khm,0,3,0,7
kor,0,3,0,7.666666666666667
lka,0,1,0,3
lva,0,1,0,21
mar,0,4,0,19.5
mex,0,6,0,9.666666666666666
mlt,0,1,0,9
mys,0,29,0,15.03448275862069
nga,0,1,0,8
nld,0,3,0,43
nor,0,1,0,9
omn,0,1,0,9
pak,0,3,0,7.666666666666667
pan,0,3,0,10.666666666666666
per,0,2,0,12.5
phl,0,4,0,7.75
pol,0,1,0,5
pse,0,1,0,11
qat,0,1,0,9
rus,0,2,0,14
sau,0,4,0,7.25
srb,0,1,0,10
svk,0,1,0,7
swe,0,1,0,17
tha,0,5,0,7.4
tls,0,2,0,8.5
tun,0,1,0,7
tur,0,3,0,13.333333333333334
ukr,0,2,0,7
ury,0,1,0,7
uzb,0,2,0,7
ven,0,3,0,9.333333333333334
vnm,0,21,0,15.333333333333334
zaf,0,2,0,7.5
