query,clicks_before,impressions_before,position_before,clicks_after,impressions_after,position_after,impression_change,click_change
cara membuat handbody racikan sendiri agar cepat putih,0,214,9.397196261682243,1,167,7.712574850299402,-47,1
racikan handbody pemutih,0,96,8.979166666666668,0,55,8.236363636363636,-41,0
cara membuat handbody racikan dosis tinggi,0,84,9,0,44,8.477272727272727,-40,0
parfum inspired adalah,0,41,5.902439024390244,0,16,6.3125,-25,0
hb racikan sendiri,0,59,9.542372881355933,0,40,10.05,-19,0
maklon parfum surabaya,0,59,9.898305084745763,2,40,10.9,-19,2
cara meracik hb dosting sendiri,0,33,6.303030303030303,0,15,6.933333333333334,-18,0
pabrik kosmetik surabaya,0,45,12.311111111111112,0,28,15.892857142857142,-17,0
pabrik skincare,0,54,23.333333333333332,0,39,16.41025641025641,-15,0
maklon skincare terbaik,1,43,9.906976744186046,1,30,3.3333333333333335,-13,0
apa itu parfum inspired,0,15,7.8,0,3,9.333333333333334,-12,0
perbedaan hb dosting dan hb bpom,0,13,8.692307692307693,0,1,8,-12,0
cara membuat hb dosting,0,38,4.868421052631579,1,27,5.111111111111111,-11,1
maklon kosmetik jawa timur,0,20,4.8,0,9,3.6666666666666665,-11,0
maklon skincare bandung,0,27,14.592592592592593,0,16,9.625,-11,0
maklon skincare,1,38,29.92105263157895,0,28,34.17857142857143,-10,-1
cara meracik handbody pemutih yang aman,0,19,7.631578947368421,0,9,7.777777777777778,-10,0
bahan bahan racikan hb dosting,0,9,6.777777777777778,0,0,0,-9,0
hb dosting racikan sendiri,0,13,7.923076923076923,0,4,7.5,-9,0
alat pengencang wajah terbaik,0,10,8.3,0,2,4,-8,0
cara membuat hb racikan pemutih aman,0,13,8.461538461538462,0,5,8.4,-8,0
pabrik kosmetik surabaya timur,0,9,16,0,1,10,-8,0
cara bikin racikan handbody pemutih,0,14,8.428571428571429,0,7,7.428571428571429,-7,0
cara buat hb dosting sendiri,0,26,4.5,0,19,5.578947368421052,-7,0
cara meracik handbody pemutih,0,9,6.888888888888889,0,2,6,-7,0
handbody racikan sendiri,0,20,7.85,0,13,7.230769230769231,-7,0
hb dosting adalah,0,31,4.161290322580645,0,24,4.25,-7,0
perbedaan edt dan edp,0,13,14.23076923076923,0,6,12.166666666666666,-7,0
resep racikan handbody pemutih kulit,0,23,6,0,16,6.75,-7,0
maklon lip serum,2,6,4.166666666666666,0,0,0,-6,-2
hb dosting artinya,0,9,9.222222222222221,0,3,8,-6,0
inspired parfum adalah,0,29,8.448275862068964,0,23,6.695652173913044,-6,0
meracik hb dosting,0,6,8,0,0,0,-6,0
maklon parfum,1,32,38.53125,0,27,35.44444444444444,-5,-1
apakah alkohol medis bisa untuk parfum,0,8,8.625,0,3,10.333333333333334,-5,0
bahan skincare apa yang cocok digunakan di cuaca lembap?,0,6,9.166666666666666,0,1,11,-5,0
buat parfum sendiri berhasil,0,5,9.6,0,0,0,-5,0
cara buat hb dosting,0,8,4.375,0,3,4,-5,0
cara meracik handbody,0,13,8.461538461538462,0,8,8,-5,0
cara meracik hb agar cepat putih,0,17,9.529411764705882,0,12,8.916666666666668,-5,0
