url,title_slug,historical_clicks,historical_impressions,current_clicks,current_impressions,position,business_relevance,b2b_b2c,leads,backlinks,content_overlap,indexing_status,decision,priority,notes
https://dreamlab.id/cara-meracik-handbody-pemutih-alami/,cara-meracik-handbody-pemutih-alami,14,4477,8,2051,7.7,LOW,B2C,DATA_MISSING,DATA_MISSING,NONE,INDEXED,KEEP,P2,"High impressions but B2C; ensure commercial path to /body-care/"
https://dreamlab.id/perbedaan-moisturizer-gel-vs-cream/,perbedaan-moisturizer-gel-vs-cream,1,838,1,358,7.4,LOW,B2C,DATA_MISSING,DATA_MISSING,NONE,INDEXED,KEEP,P2,B2C article with moderate authority
https://dreamlab.id/parfum-inspired-peluang-bisnis/,parfum-inspired-peluang-bisnis,1,329,0,140,7.6,MEDIUM,B2B,DATA_MISSING,DATA_MISSING,NONE,INDEXED,KEEP,P2,"B2B potential; ensure link to /parfum/ service page"
https://dreamlab.id/cysteamine-alternatif-hydroquinone/,cysteamine-alternatif-hydroquinone,2,219,0,92,8.8,LOW,B2C,DATA_MISSING,DATA_MISSING,NONE,INDEXED,KEEP,P2,B2C informational
https://dreamlab.id/manfaat-hair-tonic-ginseng-rambut/,manfaat-hair-tonic-ginseng-rambut,1,230,0,98,10.5,LOW,B2C,DATA_MISSING,DATA_MISSING,NONE,INDEXED,KEEP,P2,B2C declining
https://dreamlab.id/pabrik-parfum-malang-dreamlab/,pabrik-parfum-malang-dreamlab,2,87,1,28,11.7,HIGH,B2B,DATA_MISSING,DATA_MISSING,NONE,INDEXED,UPDATE_FOR_B2B,P1,"B2B location page declining; update content and add internal links"
https://dreamlab.id/pabrik-maklon-kosmetik-surabaya-terlengkap/,pabrik-maklon-kosmetik-surabaya-terlengkap,16,452,10,211,8.3,HIGH,B2B,DATA_MISSING,DATA_MISSING,NONE,INDEXED,KEEP_AND_IMPROVE,P1,"High-value B2B page; clicks increased 6→10 despite lower impressions"
https://dreamlab.id/cara-buat-parfum-sendiri-dengan-maklon/,cara-buat-parfum-sendiri-dengan-maklon,0,162,0,66,9.6,HIGH,B2B,DATA_MISSING,DATA_MISSING,NONE,INDEXED,KEEP_AND_IMPROVE,P1,"Good B2B intent; needs link to /parfum/"
https://dreamlab.id/cara-membuat-lulur-ampas-kopi/,cara-membuat-lulur-ampas-kopi,0,88,0,29,8.6,LOW,B2C,DATA_MISSING,DATA_MISSING,NONE,INDEXED,KEEP,P2,B2C informational
https://dreamlab.id/industri-kosmetik-indonesia-terus-tumbuh/,industri-kosmetik-indonesia-terus-tumbuh,7,116,3,44,9.8,MEDIUM,B2B,DATA_MISSING,DATA_MISSING,NONE,INDEXED,KEEP,P2,Industry authority article
